x,y,z,color
0.031500608,-0.623092,0.0341522,1
0.07158125,-0.6220759,0.0786019,1
0.11565875,-0.6209963,0.127494,1
0.17116812,-0.61971724,0.189095,1
0.25945932,-0.6177577,0.2868,1
0.3633155,-0.61542636,0.4024,1
0.49639022,-0.61255187,0.5504,1
0.6554447,-0.6091384,0.727,1
0.8195835,-0.6056253,0.9108,0
0.031506978,-0.6220836,0.037626203,1
0.07157523,-0.62122583,0.0864622,1
0.115148254,-0.6206228,0.139562,1
0.17117906,-0.61990035,0.207826,0
0.03193271,-0.57396424,0.0414114,1
0.07169682,-0.57003516,0.0938949,1
0.116226345,-0.56615794,0.152554,1
0.17128196,-0.5614998,0.224987,1
0.26164863,-0.5541551,0.344,1
0.3599147,-0.5459017,0.4736,1
0.49963054,-0.5343038,0.6576,1
0.6611003,-0.5208981,0.872,0
0.031681545,-0.6823232,0.0569902,1
0.07156951,-0.6828301,0.129749,1
0.11687362,-0.68384004,0.21232201,1
0.17221409,-0.6852046,0.313142,1
0.25719646,-0.68722814,0.4682,1
0.36271527,-0.68982476,0.66,1
0.4957554,-0.6930712,0.9024,0
0.03167307,-0.68162996,0.051531103,1
0.07328083,-0.68114424,0.120288,1
0.116185494,-0.6808671,0.191179,1
0.17183283,-0.6805601,0.283119,1
0.2609012,-0.6801028,0.43,1
0.35890907,-0.6796586,0.59220004,1
0.50160986,-0.67902917,0.8276,0
0.031738214,-0.6866491,0.051050898,1
0.071596906,-0.68652993,0.116156995,1
0.11655721,-0.6866661,0.18960899,1
0.17236272,-0.6869054,0.28076598,1
0.2601766,-0.6872817,0.424,1
0.36311668,-0.68782085,0.59279996,1
0.49957126,-0.68845356,0.8156,1
0.6638061,-0.6892455,1.0834,0
0.031578626,0.13696967,0.040654097,1
0.07306736,0.13568258,0.0951248,1
0.11574709,0.1346673,0.151166,1
0.17288378,0.13339306,0.22609599,1
0.25934994,0.13146815,0.3396,1
0.35926378,0.12928416,0.4706,1
0.49856186,0.12638104,0.6534,1
0.6601676,0.122993216,0.866,1
0.8195715,0.11975844,1.0785999,0
0.031786166,0.18500204,0.0360832,1
0.07162947,0.18518233,0.082301594,1
0.1157,0.18555154,0.133421,1
0.17225449,0.18611972,0.199018,1
0.26017684,0.18706389,0.3012,1
0.36020172,0.1881175,0.4168,1
0.5008684,0.18957391,0.5802,1
0.6601292,0.19121909,0.7648,1
0.8189769,0.19287811,0.9486,0
0.0319109,0.17727225,0.032438,1
0.071751595,0.17654079,0.0739383,1
0.11610319,0.17603011,0.120154,1
0.17114839,0.17546923,0.17750101,0
0.031623647,0.19767937,0.038943402,1
0.07300778,0.19944692,0.09109101,1
0.11632047,0.20156704,0.145696,1
0.17145433,0.20443471,0.215263,1
0.25685596,0.20878187,0.32279998,1
0.3589749,0.21383435,0.45220003,1
0.50221115,0.22084616,0.6334,1
0.6625095,0.22859846,0.837,1
0.81945205,0.23607858,1.0354,0
0.031439513,0.48113263,0.0534431,1
0.07199014,0.47782338,0.123568,0
0.031528242,0.20815805,0.0667554,1
0.07227039,0.20468672,0.154089,1
0.116874054,0.20076878,0.24966,0
0.031934593,0.48298857,0.10353,0
0.11643955,0.4772392,0.37977302,0
0.260734,0.46834823,0.8516,0
0.031439807,0.35870996,0.038129102,1
0.07185604,0.35859495,0.0882138,1
0.11612223,0.35865065,0.14306599,1
0.17092985,0.35877618,0.2109,1
0.25686797,0.35892963,0.3174,1
0.35925168,0.35923278,0.44439998,1
0.49898443,0.35963696,0.61740005,1
0.6606768,0.36004388,0.818,1
0.8223579,0.36048105,1.0138,0
