x,y,z,color
0.03257951,0.54361874,-0.0418283,1
0.071411505,0.5436802,-0.0975724,1
0.11710237,0.5434916,-0.165023,1
0.17088953,0.53900695,-0.24493499,1
0.2626879,0.53373533,-0.382,1
0.36053452,0.52855283,-0.53,1
0.49884152,0.5270605,-0.7438,1
0.66252595,0.52276695,-1.0036,0
0.03173468,0.06360121,0.00549688,1
0.07112627,0.06088258,0.00743744,1
0.11574564,0.05777944,0.00965937,0
0.032529496,0.7960872,-0.0151887,1
0.07191634,0.79337204,-0.0382749,1
0.11616251,0.79019594,-0.0641951,1
0.17145191,0.7861688,-0.096658096,1
0.25910333,0.77967733,-0.148,1
0.36222368,0.7718974,-0.209,1
0.49978638,0.7615554,-0.2904,1
0.65987253,0.74939257,-0.3862,1
0.8168625,0.73724014,-0.4772,1
1.0234927,0.7210453,-0.60179996,0
0.031443793,-0.26258227,-0.0806133,1
0.071761526,-0.26152596,-0.18897301,1
0.11684621,-0.26033595,-0.31026998,0
0.031979337,-0.20151618,-0.0810549,1
0.07181347,-0.20181563,-0.186884,1
0.11581746,-0.20211037,-0.303788,1
0.17311811,-0.20248143,-0.456064,1
0.25608975,-0.20301281,-0.6764,1
0.35736254,-0.20367803,-0.9456,0
0.03196431,-0.57570195,-0.139435,1
0.07180439,-0.57635015,-0.318007,0
0.0315137,0.08520155,0.010981,1
0.07217893,0.08189155,0.0201805,1
0.11493242,0.07869329,0.029831199,1
0.1710519,0.074534126,0.042475898,1
0.2577031,0.067976765,0.0616,1
0.35972297,0.06026508,0.0844,1
0.49568656,0.05011004,0.1156,1
0.6555045,0.038171023,0.1516,1
0.8217852,0.025724601,0.18980001,1
1.0235746,0.0106661385,0.233,0
0.031807285,0.18360204,-0.00040937398,1
0.07161865,0.18619063,-0.00576484,1
0.11557936,0.18902491,-0.0116844,1
0.17223205,0.19253916,-0.0193815,1
0.2591117,0.19796535,-0.0306,1
0.36297682,0.20434624,-0.045,1
0.49732587,0.21268956,-0.064,1
0.6575584,0.2223743,-0.085599996,1
0.8215836,0.23234536,-0.1084,1
1.0190738,0.24459206,-0.1372,0
0.031441472,-0.014265687,0.00497439,1
0.0713684,-0.016859999,0.00634063,1
0.11576611,-0.01954262,0.00787979,1
0.17079145,-0.023174198,0.00988437,1
0.26102772,-0.0289752,0.0134,1
0.35906857,-0.0352827,0.0162,1
0.50015694,-0.044496696,0.022200001,1
0.6597362,-0.05502603,0.027,1
0.81883246,-0.06577081,0.0378,1
1.0182924,-0.07953599,0.0378,0
0.03149452,-0.24910097,-0.0925876,1
0.07108077,-0.24635714,-0.213532,1
0.115931444,-0.24329168,-0.35029,0
0.26046398,-0.23426959,-0.7904,0
0.031503428,-0.16324112,-0.0915093,1
0.071922705,-0.16138127,-0.21389501,1
0.11565237,-0.1592898,-0.346272,0
0.0322757,-0.5905586,-0.13772099,1
0.07209202,-0.58849233,-0.312425,0
0.031483147,-0.65973103,-0.266505,0
0.07191948,-0.16128898,-0.357701,0
0.11499509,0.114901856,0.0127327,1
0.17168684,0.11621825,0.017699499,1
0.2603126,0.11417681,0.025799999,1
0.35935438,0.11011396,0.0342,1
0.49899733,0.10330315,0.0462,1
0.6606712,0.09471928,0.0604,1
0.81647635,0.08612779,0.076,1
1.0196341,0.07465624,0.0976,0
0.2590323,0.09639546,-0.036599997,1
0.35989407,0.09685112,-0.0562,1
0.49973375,0.09468759,-0.0832,0
