x,y,z,color,r
0.03195164,0.09662811,-0.0398462,1,0.10177376
0.03153569,0.13194892,-0.0781905,1,0.13566509
0.03216448,0.16434333,0.018656999,1,0.16746129
0.07157549,0.16214584,0.0316282,1,0.17724086
0.11639319,0.16196522,0.046389498,1,0.19944952
0.031719893,0.18969646,0.0149155995,1,0.19233018
0.03178934,0.18478592,0.014493,0,0.1875004
0.03180678,0.18363279,0.015625,1,0.18636703
0.07114709,0.18401462,0.0240201,1,0.19728987
0.07122751,0.17821044,0.026891898,1,0.19191748
0.07125636,0.17646617,0.0272204,1,0.19030969
0.03234003,0.18159895,-0.0127449,1,0.18445611
0.07171922,0.1785005,-0.0310282,1,0.19236964
0.03242642,0.153323,0.0203936,1,0.15671444
0.0717385,0.1566139,0.0394465,1,0.17226239
0.116475575,0.16070385,0.0609509,1,0.1984749
0.032043643,0.13334613,-0.029499799,1,0.1371422
0.072520494,0.13655956,-0.0727243,1,0.15462127
0.032312546,0.058320966,-0.0425419,1,0.0666741
0.071183,0.056207724,-0.0994531,1,0.09069911
0.032549348,0.17009585,-0.0483414,1,0.17318214
0.032111745,0.07359843,0.0969147,1,0.080298774
0.032412253,0.052343946,0.091874704,1,0.061566573
0.031647354,0.070545755,-0.0850759,1,0.0773192
0.032478552,0.048717532,-0.00681352,1,0.058551297
0.07175349,0.05143096,-0.0131564,1,0.088281974
0.11641484,0.054606467,-0.0204268,1,0.1285857
0.17269593,0.058607157,-0.0296121,1,0.18236963
0.032249566,0.16056067,0.00101468,1,0.1637674
0.07216864,0.1588736,-0.0024593798,1,0.1744968
0.11538837,0.15718065,-0.0062147104,1,0.19498777
0.03167936,0.06785432,0.00890418,1,0.07488519
0.07264985,0.07134718,0.037179697,1,0.101825446
0.11505035,0.07464959,0.0664087,1,0.13714644
0.03302911,0.14988425,-0.0288429,1,0.15348032
0.07252706,0.1483226,-0.0479025,1,0.16510533
0.11571381,0.14671755,-0.0687771,1,0.18685749
0.031937152,0.10294588,-0.00425938,1,0.10778607
0.07194244,0.10476054,-0.00476563,0,0.12708457
0.032001685,0.047301367,0.0113963,1,0.057109784
0.07131435,0.048294656,0.0138363,1,0.08612845
0.11621526,0.049409214,0.016635599,1,0.12628245
0.17094801,0.05074865,0.0200656,1,0.17832176
0.03222624,0.18919536,-0.0644994,1,0.19192034
0.031935483,0.10450014,-0.0188643,1,0.10927101
0.071865655,0.10814282,-0.0280743,1,0.12984431
0.11557901,0.112111226,-0.0381643,1,0.16101998
0.03194737,0.09800282,-0.0146708,1,0.10307855
0.07206545,0.09996587,-0.0461135,1,0.123233944
0.11546454,0.10213079,-0.080102205,1,0.15415174
0.031494524,0.0008993051,0.0428672,1,0.03150736
0.031935696,0.05087266,0.008871879,1,0.060065933
0.07133479,0.04726259,0.00692531,1,0.08557105
0.11662336,0.043138556,0.00465313,1,0.124346055
0.17177327,0.03815042,0.00181726,1,0.17595883
0.032625422,0.041434906,-0.0021430398,1,0.052737743
0.07202985,0.038785726,-0.017356,1,0.08180851
0.11555294,0.035992827,-0.0341676,1,0.12102878
0.17274924,0.032347616,-0.0562095,1,0.17575172
0.03154363,0.13295178,0.0329927,0,0.13664252
0.031440433,0.1097217,0.00640521,1,0.114137426
0.07135748,0.10865652,0.0251713,1,0.1299928
0.11524079,0.10759238,0.0458258,1,0.15765963
0.032665797,0.16458337,-0.0434003,1,0.16779374
0.0714369,0.16758558,-0.0944085,1,0.18217617
0.03201515,0.08445748,-0.059275,1,0.09032185
