x,y,z,color
0.032015618,0.2093877,-0.205722,1
0.072587,0.20926541,-0.48162702,0
0.07247818,0.6999745,-0.104102,1
0.116900526,0.7003592,-0.175165,1
0.17209342,0.7008308,-0.26345998,1
0.25931826,0.7015421,-0.403,1
0.35956737,0.70232004,-0.563,1
0.5011027,0.703426,-0.7898,1
0.6584429,0.70463717,-1.0414001,0
0.031971674,0.7474297,-0.0376964,1
0.07115534,0.7458251,-0.0983573,1
0.11657744,0.74405074,-0.16867399,1
0.17101291,0.7418759,-0.25287,1
0.26337788,0.7382083,-0.3958,1
0.35888085,0.73432636,-0.5438,1
0.4979872,0.72855103,-0.75879997,1
0.6635219,0.7217249,-1.0156,0
0.031972334,0.71656495,-0.0336273,1
0.071795546,0.71733874,-0.09019551,1
0.1159385,0.718086,-0.152877,1
0.17086361,0.71899176,-0.23087,1
0.25796643,0.72042465,-0.3546,1
0.35696158,0.72199243,-0.4952,1
0.49705863,0.72421527,-0.694,1
0.65607214,0.7267397,-0.9198,0
0.032532647,-0.9540727,-0.048234902,1
0.071387336,-0.95523316,-0.119939,1
0.1171105,-0.9566272,-0.204332,1
0.17201847,-0.95839256,-0.305645,1
0.26041847,-0.9613995,-0.46879998,0
0.032670163,-0.46061486,-0.056653302,1
0.071550906,-0.46194953,-0.138004,1
0.11503121,-0.46321622,-0.2289,1
0.17160395,-0.4648377,-0.347209,0
0.36075503,-0.47040603,-0.74259996,1
0.50146586,-0.4745034,-1.0372,0
0.03225826,-0.4380727,-0.0203716,1
0.07159969,-0.43683764,-0.0595975,1
0.1154164,-0.43521285,-0.103261,1
0.17311049,-0.433169,-0.160797,1
0.26090667,-0.43005478,-0.2486,1
0.35625604,-0.42661434,-0.34379998,1
0.49888438,-0.42148095,-0.4868,1
0.6635081,-0.4155678,-0.6516,1
0.82088774,-0.40993148,-0.8078,1
1.020807,-0.40276754,-1.0138,0
0.03196854,0.96736807,-0.0245175,1
0.071889386,0.9645649,-0.0697597,1
0.114996225,0.96101916,-0.118387,1
0.17266303,0.9564292,-0.183414,1
0.25622642,0.9495664,-0.27760002,1
0.36061138,0.94092095,-0.3964,1
0.49704656,0.9292841,-0.552,1
0.6596503,0.91530657,-0.7392,1
0.8161393,0.901797,-0.9216,0
0.03152779,-0.9167873,-0.0862996,1
0.07210395,-0.91622996,-0.212472,1
0.11644169,-0.91570014,-0.350376,0
0.26303384,-0.91397756,-0.8066,0
0.032109983,-0.33310422,-0.103480004,1
0.07140154,-0.3308743,-0.24433,1
0.11581763,-0.32822293,-0.40352398,0
0.25916904,-0.3198381,-0.9174,0
0.03247897,0.02630869,-0.114106,1
0.07189373,0.026939739,-0.26692998,1
0.11585467,0.027740546,-0.437408,0
0.2622616,0.03077253,-1.0054001,0
0.032450855,-0.19979955,-0.0535574,1
0.071223155,-0.19651136,-0.131751,1
0.114989206,-0.19257782,-0.220097,1
0.17191097,-0.18760243,-0.334827,1
0.25797704,-0.1794771,-0.509,1
0.35705045,-0.17020361,-0.7092,1
0.50414133,-0.15666997,-1.0078,0
0.032696515,0.66320544,-0.0300039,1
0.07151414,0.6644514,-0.0797023,1
0.11616324,0.66565716,-0.13691099,1
0.171391,0.6671339,-0.207709,1
0.25785914,0.6694467,-0.3186,1
0.363738,0.6722857,-0.454,1
0.5006896,0.6759481,-0.6294,1
0.6627359,0.68024933,-0.8374,1
0.81884724,0.6842755,-1.0354,0
0.03152431,-0.11956492,0.028939899,1
0.07109005,-0.12263571,0.0504361,1
0.11584482,-0.12584929,0.0747344,1
0.17150345,-0.1297759,0.104961,1
0.25735208,-0.13555653,0.1516,1
0.35907757,-0.14234284,0.2074,1
0.4963295,-0.15134466,0.282,1
0.66287315,-0.16248354,0.373,1
0.8222081,-0.1732193,0.46060002,1
1.0234836,-0.18686791,0.5694,0
0.03194354,0.8494827,0.124526,1
0.07213344,0.84756154,0.26641,1
0.11549447,0.84560156,0.419556,0
0.2604266,0.838649,0.9312,0
0.03202067,0.8337032,0.21861301,1
0.07199094,0.8367379,0.477054,0
0.032019906,0.7087999,-0.036221698,1
0.07211523,0.70848376,-0.0963934,1
0.11644338,0.7079313,-0.162925,1
0.17159201,0.7072647,-0.245678,1
0.25963596,0.70618725,-0.3778,1
0.36008945,0.7049691,-0.5288,1
0.49806744,0.7032639,-0.736,1
0.6602155,0.70127004,-0.9798,0
0.033045605,0.77428496,-0.0407483,1
0.07189797,0.7768191,-0.102529995,1
0.116756745,0.77954316,-0.173834,1
0.1716917,0.7828227,-0.261181,1
0.26337293,0.7881759,-0.407,1
