x,y,z,color,r
0.03180009,0.059070062,0.0081877895,1,0.0670859
0.07111174,0.06233793,0.0221698,0,0.0945669
0.03244398,0.17557642,-0.036506902,1,0.17854884
0.07121756,0.17884533,-0.0763437,1,0.19250348
0.03195493,0.11844916,-0.021773199,1,0.12268382
0.07172842,0.115431376,-0.0448958,1,0.13590206
0.115081154,0.11212493,-0.0699723,1,0.16067256
0.031491533,0.1253952,0.00853437,1,0.1292891
0.07109261,0.12703201,0.0150885,1,0.14557229
0.11606935,0.1287735,0.022501,1,0.17336294
0.031448614,0.11478262,0.0054735197,1,0.11901287
0.07130751,0.11114814,0.008253121,1,0.13205557
0.11526787,0.10687853,0.0112344,1,0.1571932
0.17094827,0.1020198,0.0150147,1,0.19907625
0.03152055,0.0049097463,0.0019531301,1,0.031900637
0.0710687,0.0056239148,0.000265625,1,0.07129087
0.116997994,0.006579557,-0.00167188,1,0.11718286
0.17266445,0.007695,-0.00409063,1,0.17283583
0.032199863,0.19116431,-0.048411,1,0.19385722
0.032820318,0.1579417,0.0987219,1,0.1613157
0.031562738,0.07890728,0.0295835,1,0.08498568
0.07235174,0.07779379,0.064759694,1,0.10623863
0.032783862,0.034445554,-0.003451,1,0.047552895
0.0722126,0.032436546,-0.00769063,1,0.07916305
0.115757175,0.030187517,-0.0123670995,1,0.11962863
0.17132777,0.027322374,-0.0183452,1,0.1734927
0.03190978,0.052338243,0.0284423,1,0.06129866
0.07124463,0.052158378,0.0562667,1,0.08829662
0.11641411,0.05461097,0.0882631,1,0.12858695
0.03211278,0.14062297,-0.0114755,1,0.14424303
0.07277267,0.1422177,-0.0226031,1,0.15975523
0.11579869,0.14450194,-0.0343889,1,0.18517599
0.03195676,0.11894688,-0.0059468797,1,0.12316491
0.0716465,0.121206306,-0.00994063,1,0.14079839
0.11688919,0.123616025,-0.014496899,1,0.17012937
0.03167043,0.19359112,0.0138644,1,0.19616456
0.032640915,0.16571756,-0.0130604,1,0.16890156
0.0720196,0.16417919,-0.0255487,1,0.17928086
0.031934787,0.108487174,-0.031196501,1,0.11308978
0.07132124,0.110441685,-0.069247104,1,0.13146895
0.032387957,0.15483329,-0.0803337,1,0.15818447
0.03244322,0.17561671,-0.051646702,1,0.17858833
0.032313,0.05829099,-0.0176603,1,0.066648096
0.07162025,0.061033748,-0.032837003,1,0.09409877
0.11593966,0.06420677,-0.0499323,1,0.13253118
0.17145237,0.06821807,-0.071327,1,0.18452539
0.03199971,0.12739767,-0.0309805,1,0.13135505
0.071616895,0.12386596,-0.0669694,1,0.14307955
0.032253407,0.035395943,0.0262121,1,0.047886897
0.071713276,0.032421842,0.049896803,1,0.07870178
0.11579956,0.029099736,0.0763721,1,0.11939989
0.032272357,0.18595846,-0.0157769,1,0.18873805
0.032769058,0.03506753,-0.00836277,1,0.047995236
0.0722283,0.03193469,-0.0255474,1,0.07897311
0.1158188,0.028618846,-0.0445635,1,0.11930227
0.17148842,0.024322836,-0.0689562,1,0.17320473
0.032520458,0.046545297,-0.0687564,1,0.056780674
0.032214753,0.065044776,-0.049658198,1,0.07258522
0.031459596,0.0956469,0.0428995,1,0.10068782
0.07226106,0.09340677,0.096171096,1,0.118095234
0.032478284,0.15133424,0.0444932,1,0.15478013
0.072507836,0.14882912,0.087715596,1,0.16555208
0.031922724,0.05160024,-0.0913405,1,0.060676564
0.031494454,0.12589969,0.0369887,1,0.12977917
0.071612924,0.12425811,0.0721231,1,0.14341718
0.0319346,0.10798881,-0.00525955,1,0.11261173
0.07180515,0.111108236,-0.0236216,1,0.13229142
0.115493186,0.11487057,-0.0436778,1,0.16289237
0.03211663,0.1409767,-0.016816,1,0.14458875
0.07299597,0.13719961,-0.035753503,1,0.1554096
0.11631137,0.1334391,-0.0557721,1,0.17701504
0.0319382,0.11192384,0.0801043,1,0.11639156
0.03267532,0.16415088,-0.0489796,1,0.1673714
0.03283284,0.032428376,-0.027541,1,0.046147533
0.07228126,0.030282725,-0.0673687,1,0.07836851
0.031987555,0.12541148,-0.0335159,1,0.1294266
0.07108389,0.1282007,-0.081291705,1,0.14658901
0.031934854,0.10541145,-0.0335664,1,0.11014267
0.071442954,0.10482569,-0.0819705,1,0.1268563
0.031991605,0.08803319,-0.009378861,1,0.09366593
0.07256631,0.084798135,-0.019188998,1,0.11160911
0.117147185,0.08130931,-0.0299728,1,0.14259967
0.17140156,0.07719379,-0.043097902,1,0.18798238
0.031505328,0.086457975,0.0271385,1,0.09201939
0.07209927,0.083891705,0.0633052,1,0.110617004
0.03223572,0.063510165,-0.00482188,1,0.07122277
0.07161987,0.06107392,-0.00959352,1,0.09412454
0.11622346,0.0582023,-0.0149469,1,0.12998231
0.17307262,0.05441327,-0.0216536,1,0.18142474
0.032113694,0.16671765,-0.075654,1,0.1697824
0.03185358,0.1806715,-0.071725994,1,0.183458
0.032556746,0.16972823,-0.0432691,1,0.17282249
0.07142591,0.16805236,-0.097021796,1,0.18260136
0.033617422,0.13091584,0.0863909,1,0.13516319
0.031646214,0.01847959,0.034996398,1,0.036646664
0.072611935,0.021130325,0.0781866,1,0.07562396
0.0314902,0.08897769,0.0309039,1,0.094385706
0.07199741,0.086563244,0.068586305,1,0.11259139
0.031578626,0.01197,0.034156602,1,0.03377115
0.07285862,0.015233469,0.0802405,1,0.07443411
0.071590856,0.036589775,0.0516622,0,0.080399394
0.115877695,0.027196208,0.0772912,1,0.11902636
0.031506926,0.12791677,0.0402522,1,0.13173984
0.073281236,0.13134734,0.093888395,1,0.150407
0.03224645,0.1606949,0.0377622,1,0.1638984
0.07202948,0.1638015,0.0861894,1,0.17893904
0.031569432,0.01096616,-0.0714197,1,0.03341984
0.03157397,0.1364678,0.034276,1,0.14007275
0.07313117,0.13435738,0.0813108,1,0.15297082
