x,y,z,color,r
0.031713698,0.065162,0.0433483,1,0.072469614
0.032120313,0.041401383,-0.0820949,1,0.052400276
0.032937396,0.02831134,-0.022033399,1,0.043432754
0.07233059,0.028801626,-0.0387571,1,0.077854015
0.11578219,0.029539235,-0.057225898,1,0.11949093
0.17241052,0.03051268,-0.0813042,1,0.17508972
0.032651514,0.16523266,-0.00217856,1,0.16842788
0.07194105,0.16731834,-0.00510313,1,0.18212892
0.031452224,0.097947285,-0.000634377,1,0.10287329
0.072216175,0.0948203,-0.0018406301,1,0.119189195
0.11652276,0.09114896,-0.0031906199,1,0.14793812
0.17248522,0.08675789,-0.0049906303,1,0.19307533
0.0717644,0.030800318,0.021278098,0,0.07809474
0.03151022,0.0034203632,-0.099110395,1,0.031695314
0.03196124,0.094041154,0.0811027,1,0.09932401
0.032192912,0.16305737,0.054053698,1,0.16620496
0.031951018,0.11731123,-0.026240101,1,0.12158451
0.07175789,0.11367988,-0.0579771,1,0.1344333
0.115163,0.10973573,-0.0926251,1,0.15907371
0.03162949,0.016979886,-0.087458804,1,0.035899043
0.031937495,0.10266726,-0.0321154,1,0.10752008
0.072054826,0.10035696,-0.0604222,1,0.1235452
0.115672246,0.097693175,-0.091233,1,0.15140682
0.03233262,0.18205538,-0.027888902,1,0.18490419
0.071635805,0.18462113,-0.0501599,1,0.19803193
0.031942405,0.09996558,-0.0436578,1,0.10494491
0.071497746,0.10259109,-0.085771106,1,0.12504743
0.03255367,0.1698811,-0.0144217,1,0.17297205
0.0718437,0.17168525,-0.0201854,1,0.18611111
0.03166972,0.14547639,0.012562101,1,0.14888369
0.07221777,0.14344388,0.0332002,1,0.16059749
0.11544884,0.14095038,0.055264197,1,0.18219617
0.031453587,0.097491816,0.0211865,1,0.10244014
0.07172719,0.09447554,0.052880798,1,0.11861879
0.1165146,0.09129566,0.088171095,1,0.14802213
0.03149676,0.087850094,-0.0965885,1,0.09332569
0.032112047,0.04179731,0.0091089,1,0.05270862
0.071536854,0.038578503,0.0154326,1,0.08127621
0.11509103,0.034898896,0.0224462,1,0.12026587
0.17243147,0.030277895,0.0316595,1,0.17506959
0.03240963,0.052488405,-0.0627075,1,0.061688058
0.032132976,0.07166127,-0.0309976,1,0.07853576
0.07326508,0.069165155,-0.0675,1,0.1007551
